Antibody	Virus	GeoMean_IC50	Threshold	Label_0/1	Label_Sensitive/Resistant
10-1074	98050	20	0.2	1	resistant
10-1074	98050	20	1	1	resistant
10-1074	98050	20	50	1	resistant
10-1074	AD17 (B) XW	0.01	0.2	0	sensitive
10-1074	AD17 (B) XW	0.01	1	0	sensitive
10-1074	AD17 (B) XW	0.01	50	0	sensitive
10-1074	AD355_m2_1 (B)	0.078	0.2	0	sensitive
10-1074	AD355_m2_1 (B)	0.078	1	0	sensitive
10-1074	AD355_m2_1 (B)	0.078	50	0	sensitive
10-1074	AD358_m2_1 (B)	0.272	0.2	1	resistant
10-1074	AD358_m2_1 (B)	0.272	1	0	sensitive
10-1074	AD358_m2_1 (B)	0.272	50	0	sensitive
10-1074	AD360_m6_22 (B)	0.242	0.2	1	resistant
10-1074	AD360_m6_22 (B)	0.242	1	0	sensitive
10-1074	AD360_m6_22 (B)	0.242	50	0	sensitive
10-1074	AD414_m9_14 (B)	0.042	0.2	0	sensitive
10-1074	AD414_m9_14 (B)	0.042	1	0	sensitive
10-1074	AD414_m9_14 (B)	0.042	50	0	sensitive
10-1074	AD415_m9_14 (B)	20	0.2	1	resistant
10-1074	AD415_m9_14 (B)	20	1	1	resistant
10-1074	AD415_m9_14 (B)	20	50	1	resistant
10-1074	CRF02_AG_271 (CRF02_AG) XW	40	0.2	1	resistant
10-1074	CRF02_AG_271 (CRF02_AG) XW	40	1	1	resistant
10-1074	CRF02_AG_271 (CRF02_AG) XW	40	50	1	resistant
10-1074	V703_0455_160	20	0.2	1	resistant
10-1074	V703_0455_160	20	1	1	resistant
10-1074	V703_0455_160	20	50	1	resistant
10-1074	V704_1109 (BF1)	20	0.2	1	resistant
10-1074	V704_1109 (BF1)	20	1	1	resistant
10-1074	V704_1109 (BF1)	20	50	1	resistant
10-1074	1209_BM_A5	25	0.2	1	resistant
10-1074	1209_BM_A5	25	1	1	resistant
10-1074	1209_BM_A5	25	50	1	resistant
3BNC117	98050	0.238	0.2	1	resistant
3BNC117	98050	0.238	1	0	sensitive
3BNC117	98050	0.238	50	0	sensitive
3BNC117	AD17 (B) XW	0.29	0.2	1	resistant
3BNC117	AD17 (B) XW	0.29	1	0	sensitive
3BNC117	AD17 (B) XW	0.29	50	0	sensitive
3BNC117	AD355_m2_1 (B)	0.446	0.2	1	resistant
3BNC117	AD355_m2_1 (B)	0.446	1	0	sensitive
3BNC117	AD355_m2_1 (B)	0.446	50	0	sensitive
3BNC117	AD358_m2_1 (B)	0.636	0.2	1	resistant
3BNC117	AD358_m2_1 (B)	0.636	1	0	sensitive
3BNC117	AD358_m2_1 (B)	0.636	50	0	sensitive
3BNC117	AD360_m6_22 (B)	0.257	0.2	1	resistant
3BNC117	AD360_m6_22 (B)	0.257	1	0	sensitive
3BNC117	AD360_m6_22 (B)	0.257	50	0	sensitive
3BNC117	AD414_m9_14 (B)	0.084	0.2	0	sensitive
3BNC117	AD414_m9_14 (B)	0.084	1	0	sensitive
3BNC117	AD414_m9_14 (B)	0.084	50	0	sensitive
3BNC117	AD415_m9_14 (B)	0.225	0.2	1	resistant
3BNC117	AD415_m9_14 (B)	0.225	1	0	sensitive
3BNC117	AD415_m9_14 (B)	0.225	50	0	sensitive
3BNC117	CRF02_AG_271 (CRF02_AG) XW	0.037	0.2	0	sensitive
3BNC117	CRF02_AG_271 (CRF02_AG) XW	0.037	1	0	sensitive
3BNC117	CRF02_AG_271 (CRF02_AG) XW	0.037	50	0	sensitive
3BNC117	V703_0455_160	20	0.2	1	resistant
3BNC117	V703_0455_160	20	1	1	resistant
3BNC117	V703_0455_160	20	50	1	resistant
3BNC117	V704_1109 (BF1)	20	0.2	1	resistant
3BNC117	V704_1109 (BF1)	20	1	1	resistant
